pet_id,issue_date,listing_date,condition,color_type,length_m,height_cm,X1,X2,breed_category,pet_category
ANSL_59210,12/30/2017 0:00,4/25/2018 17:41,0,Tortie,0.53,35.06,0,1,1,1
ANSL_56018,1/25/2011 0:00,3/10/2017 12:21,1,Gray,0.32,48.92,0,7,0,2
ANSL_53325,9/1/2015 0:00,9/23/2016 18:16,1,Fawn,0.98,14.02,0,7,0,2
ANSL_52456,7/18/2010 0:00,2/18/2018 14:46,0,Tricolor,0.68,22.33,0,7,1,2
ANSL_55113,11/29/2013 0:00,12/28/2016 16:15,1,Buff,0.16,27.19,0,1,0,2
ANSL_73983,10/4/2005 0:00,10/27/2018 0:00,1,White,0.6,49.36,13,9,0,2
ANSL_62164,2/13/2009 0:00,12/14/2017 15:49,0,Black,0.83,22.34,0,1,1,2
ANSL_53732,7/28/2017 0:00,3/27/2019 15:40,0,White,0.92,37.62,0,1,1,1
ANSL_69635,5/26/2017 0:00,6/21/2018 15:15,2,White,0.16,48.19,0,7,1,2
ANSL_54000,1/14/2018 0:00,2/11/2018 14:49,,White,0.03,21.9,13,9,2,1
ANSL_66035,8/26/2017 0:00,11/15/2018 15:15,1,Black,0.91,30.24,13,9,0,2
ANSL_50166,7/6/2018 0:00,9/30/2018 18:44,0,Torbie,0.73,15.86,0,1,1,1
ANSL_50330,7/27/2017 0:00,2/18/2018 10:19,,Brown,0.73,8.22,0,6,2,4
ANSL_66446,3/14/2010 0:00,4/10/2017 14:17,1,Orange Tabby,0.9,12.88,0,7,0,1
ANSL_51682,6/8/2017 0:00,7/30/2018 18:36,1,Tricolor,0.88,41.37,0,7,0,2
ANSL_56697,10/31/2014 0:00,11/21/2016 15:26,2,Brown,0.65,18.14,13,9,1,4
ANSL_60819,10/23/2015 0:00,12/26/2017 11:11,0,Black,0.79,10.9,7,1,1,1
ANSL_58673,12/29/2017 0:00,3/8/2018 11:04,,Black,0.08,30.4,9,2,2,1
ANSL_62458,4/17/2018 0:00,12/14/2018 17:42,0,Blue,0.05,44.1,0,1,1,1
ANSL_64552,10/23/2016 0:00,11/14/2017 9:00,0,Orange Tabby,0.52,13.25,16,9,1,1
ANSL_75413,11/29/2018 0:00,4/8/2019 17:09,1,Black,0.62,32.76,0,1,0,2
ANSL_76141,3/29/2018 0:00,4/26/2019 11:49,1,White,0.42,10.38,0,8,0,2
ANSL_60574,1/20/2015 0:00,4/9/2018 9:30,1,Black,0.53,42.92,13,9,0,1
ANSL_55045,3/6/2015 0:00,3/28/2017 19:02,0,Black,0.07,7.09,16,9,1,1
ANSL_66680,8/24/2016 0:00,9/24/2017 14:28,0,Blue,0.41,35.07,0,1,1,2
ANSL_55030,3/20/2008 0:00,7/23/2017 17:26,2,Sable,0.54,17.01,0,7,0,2
ANSL_75554,3/4/2017 0:00,4/12/2019 13:06,0,White,0.19,30.01,13,9,1,2
ANSL_62016,12/15/2016 0:00,1/7/2019 21:55,,Brown Tabby,0.44,49.68,18,4,2,1
ANSL_69645,1/28/2015 0:00,2/28/2018 18:24,0,Tan,0.67,15.38,0,7,1,2
ANSL_52823,3/13/2014 0:00,12/31/2017 14:42,1,Tan,0.7,12.53,0,7,0,2
ANSL_76493,4/7/2017 0:00,5/3/2019 21:07,1,Brown,0.8,29.12,0,1,0,2
ANSL_52483,7/16/2016 0:00,10/15/2016 15:50,2,Brown Tabby,0.33,46.54,18,4,0,1
ANSL_56705,10/29/2016 0:00,11/24/2017 17:35,0,Tan,0.09,20.71,0,1,1,2
ANSL_71550,8/3/2016 0:00,10/29/2016 19:51,1,White,0.62,35.64,7,1,0,1
ANSL_74451,6/21/2016 0:00,6/12/2018 11:35,1,Black,0.83,17.96,0,7,0,1
ANSL_54362,12/9/2016 0:00,11/3/2017 17:36,0,Black,0.04,43.27,0,1,1,2
ANSL_55262,7/3/2016 0:00,7/28/2017 18:59,1,Orange Tabby,0.38,32.15,16,9,0,1
ANSL_52281,4/8/2016 0:00,5/9/2018 14:57,0,Blue,0.1,44.25,0,1,1,2
ANSL_50293,11/18/2016 0:00,2/21/2017 15:23,2,Brown Tabby,0.73,35.42,9,2,0,1
ANSL_63670,9/15/2010 0:00,3/31/2019 18:39,0,Brown Tabby,0.31,49.06,0,1,1,1
ANSL_54345,1/3/2014 0:00,1/27/2019 14:54,0,Tricolor,0.3,23.88,0,7,1,2
ANSL_54467,1/7/2016 0:00,1/29/2018 7:48,,Red,0.49,39.78,15,4,2,4
ANSL_63117,2/7/2015 0:00,2/28/2018 16:16,1,Black,0.24,40.52,0,7,0,1
ANSL_75526,3/18/2016 0:00,4/11/2019 15:06,2,Black,0.79,39.36,0,3,0,1
ANSL_58969,11/20/2016 0:00,12/16/2016 16:40,,Brown Tabby,0.17,32.6,13,9,2,1
ANSL_61988,5/5/2010 0:00,5/25/2018 14:28,2,Buff,0.27,32.8,18,4,0,1
ANSL_69265,2/2/2016 0:00,3/17/2018 14:27,1,Blue Tick,0.58,39.96,0,1,0,2
ANSL_76161,4/5/2011 0:00,4/27/2019 11:40,0,Black,0.18,48.06,0,7,1,2
ANSL_72371,7/12/2017 0:00,8/5/2018 17:08,0,White,0.01,30.99,0,1,1,2
ANSL_62897,9/22/2015 0:00,9/7/2018 12:08,0,Brown,0.56,16.55,7,1,1,2
ANSL_60626,8/19/2018 0:00,11/17/2018 16:12,0,Orange Tabby,0.46,27.83,0,1,1,1
ANSL_55226,9/23/2014 0:00,11/4/2017 17:07,1,Brown,0.45,35.75,0,1,0,2
ANSL_75066,3/1/2018 0:00,9/20/2018 10:42,,Red,0.15,36.73,12,1,2,0
ANSL_58763,11/29/2016 0:00,12/24/2018 17:41,2,Tricolor,0.64,35.69,13,9,1,2
ANSL_63362,3/19/2016 0:00,4/26/2018 17:13,1,Orange Tabby,0.3,29.19,0,1,0,1
ANSL_60528,10/27/2014 0:00,11/18/2017 9:00,1,Orange Tabby,0.32,40.57,16,9,0,1
ANSL_66119,3/2/2015 0:00,4/5/2018 13:45,1,Black,0.1,7.12,0,7,0,2
ANSL_73664,10/4/2017 0:00,12/2/2018 8:09,1,Black,0,32.98,7,1,0,2
ANSL_58286,10/1/2015 0:00,11/11/2018 16:03,0,Blue,0.01,43.68,0,1,1,1
ANSL_54029,7/29/2016 0:00,9/20/2018 19:05,0,Torbie,0.89,12.65,0,1,1,1
ANSL_73990,7/2/2016 0:00,11/28/2016 18:54,1,White,0.46,19.38,0,1,0,1
ANSL_54886,1/30/2018 0:00,3/6/2019 12:20,0,Brown Tabby,0.91,45.39,0,1,1,1
ANSL_75713,3/22/2018 0:00,4/16/2019 12:42,2,Brown Tabby,0.43,49.54,17,9,1,1
ANSL_61116,11/10/2016 0:00,2/18/2017 18:57,0,Brown Tabby,0.67,42.6,0,1,1,1
ANSL_60330,9/5/2017 0:00,12/11/2017 20:10,1,Black,0.93,20.02,0,1,0,2
ANSL_72100,6/9/2017 0:00,7/3/2018 14:53,0,Tan,0,22.2,0,7,1,2
ANSL_66412,1/27/2017 0:00,3/3/2019 11:54,0,Orange,0.41,6.47,0,1,1,1
ANSL_70858,7/30/2017 0:00,8/24/2018 16:59,1,Black,0.02,36.19,17,9,0,1
ANSL_73513,11/24/2016 0:00,2/25/2017 18:47,0,Torbie,0.44,25.45,0,1,1,1
ANSL_70120,6/24/2014 0:00,1/19/2018 18:19,1,Tan,0.21,31.52,0,7,0,2
ANSL_71504,7/4/2016 0:00,11/25/2016 18:46,0,Blue Tabby,0.11,42.76,0,1,1,1
ANSL_71993,7/21/2012 0:00,8/5/2017 17:34,0,Chocolate,0.84,22.98,0,7,1,2
ANSL_69762,12/27/2013 0:00,10/5/2018 15:59,0,Black,0.09,8.86,0,1,1,1
ANSL_59393,7/19/2018 0:00,12/23/2018 19:15,1,Orange Tabby,0.06,15.46,0,1,0,1
ANSL_76646,9/24/2018 0:00,5/8/2019 13:05,2,White,0.61,25.47,0,7,0,2
ANSL_66359,1/16/2015 0:00,2/7/2017 9:16,2,Orange Tabby,0.81,42.33,18,4,0,1
ANSL_67558,10/2/2010 0:00,10/22/2018 13:25,1,Chocolate,0.14,45.05,0,7,0,2
ANSL_52564,6/1/2009 0:00,6/26/2017 17:07,2,Black,0.05,31.45,13,9,1,1
ANSL_63471,2/19/2007 0:00,3/10/2017 18:29,2,Brown Tabby,0.82,17.62,9,2,1,1
ANSL_50012,9/4/2016 0:00,1/23/2017 18:20,1,Black,0.81,29.03,0,1,0,1
ANSL_54755,4/12/2015 0:00,9/7/2018 16:46,0,White,0.76,46.05,0,1,1,2
ANSL_69874,9/16/2016 0:00,10/11/2018 15:57,1,Black,0.92,11.19,0,1,0,1
ANSL_52815,11/17/2016 0:00,12/10/2016 19:24,,Calico,0.99,44.23,13,9,2,1
ANSL_63690,9/18/2016 0:00,10/10/2018 9:16,,Red,0.16,8.42,15,4,2,4
ANSL_74184,9/17/2017 0:00,10/31/2017 12:24,2,Black Tabby,0.33,33.54,13,9,0,1
ANSL_68874,11/16/2016 0:00,4/2/2017 13:44,2,Black,0.95,44.05,13,9,1,1
ANSL_64736,8/13/2014 0:00,9/3/2017 18:54,2,Red,0.17,33.19,15,4,1,4
ANSL_60337,9/13/2016 0:00,12/17/2016 14:57,1,Tan,0.14,17.85,13,9,0,2
ANSL_65602,10/11/2017 0:00,1/4/2018 17:17,2,Brown Tabby,0.37,17.3,0,1,0,1
ANSL_66640,9/6/2016 0:00,12/16/2016 17:30,1,Black Brindle,0.41,24.66,0,1,0,2
ANSL_55016,4/4/2016 0:00,4/28/2017 18:45,1,Cream Tabby,0.52,6.25,0,1,0,1
ANSL_74939,3/24/2016 0:00,11/13/2017 16:00,1,White,0.91,24.31,0,7,0,2
ANSL_54794,9/6/2017 0:00,12/4/2017 12:30,0,Blue Tabby,0.69,42.55,0,1,1,1
ANSL_66067,12/3/2011 0:00,12/23/2016 16:42,0,Black,0.04,5.4,0,7,1,2
ANSL_67472,7/10/2016 0:00,10/6/2016 18:40,1,Orange Tabby,0.03,8.12,0,1,0,1
ANSL_61924,11/17/2017 0:00,6/19/2018 14:48,0,Tan,0.18,26.67,0,1,1,2
ANSL_57027,11/7/2018 0:00,2/9/2019 17:06,0,Torbie,0.04,13.85,0,1,1,1
ANSL_63245,3/23/2014 0:00,4/13/2018 15:38,1,Black,0.08,29.65,0,7,0,2
ANSL_67439,6/23/2018 0:00,1/16/2019 15:20,2,White,0.2,32.09,13,9,0,2
ANSL_61569,10/22/2015 0:00,5/21/2017 12:01,2,Black,0.15,31.43,0,7,0,2
ANSL_66720,10/26/2017 0:00,12/14/2018 19:15,1,Brown Brindle,0.63,22.83,0,1,0,2
ANSL_69437,7/16/2017 0:00,1/9/2018 13:02,1,Blue,0.9,24.96,7,1,0,1
ANSL_65204,7/21/2016 0:00,9/17/2016 13:31,2,Black,0.81,43.14,13,9,0,1
ANSL_60534,7/13/2017 0:00,3/5/2018 15:44,0,Gold,0.36,15.45,0,1,1,2
ANSL_71253,12/19/2016 0:00,6/12/2018 12:21,0,Brown Tabby,0.49,7.78,13,9,1,1
ANSL_61331,6/7/2018 0:00,7/28/2018 14:40,2,Black,0.27,12.54,13,9,0,1
ANSL_59868,2/4/2016 0:00,4/29/2018 16:38,,Brown,0.97,46.19,0,3,2,4
ANSL_64532,6/30/2017 0:00,10/11/2017 0:00,2,Calico Point,0.53,20.28,9,5,1,1
ANSL_59797,12/28/2011 0:00,1/18/2019 9:36,1,White,0.4,47.42,0,7,0,2
ANSL_50355,5/21/2014 0:00,6/11/2017 18:13,1,Blue Merle,0.04,45.23,0,7,0,2
ANSL_61861,3/4/2006 0:00,4/1/2019 11:36,0,Brown Tabby,0.77,27.39,0,7,1,1
ANSL_75174,6/20/2018 0:00,10/16/2018 11:00,0,Blue,0.19,26.1,13,9,1,1
ANSL_65618,11/29/2012 0:00,3/4/2018 0:00,1,Blue Merle,0.5,12.22,0,7,0,2
ANSL_71574,4/9/2016 0:00,6/1/2018 18:36,0,Brown Brindle,0.9,48.26,0,1,1,2
ANSL_61677,6/26/2018 0:00,10/29/2018 18:00,1,Blue Tabby,0.3,31.37,7,1,0,1
ANSL_60315,7/13/2017 0:00,9/24/2018 18:40,0,Blue Tabby,0.91,27.96,0,1,1,1
ANSL_58968,8/22/2016 0:00,11/22/2016 15:31,0,Tortie,1,27.77,0,1,1,1
ANSL_75417,1/23/2019 0:00,4/8/2019 18:26,1,Tan,0.53,22.5,7,1,0,2
ANSL_67786,6/25/2012 0:00,7/23/2016 11:55,0,White,0.49,18.86,13,9,1,2
ANSL_64363,11/22/2016 0:00,12/12/2018 0:00,2,Black,0.48,12.48,2,4,0,1
ANSL_69159,11/11/2011 0:00,12/4/2016 17:59,0,White,0.73,9.2,0,7,1,2
ANSL_64748,9/18/2016 0:00,10/9/2017 17:26,0,White,0.21,47.6,0,7,1,2
ANSL_59733,9/6/2017 0:00,10/1/2018 15:51,2,Black,0.91,41.92,13,9,1,2
ANSL_66903,7/31/2013 0:00,8/22/2016 11:04,0,Black,0.69,41.93,0,7,1,2
ANSL_70167,2/17/2016 0:00,7/7/2017 18:08,0,Orange Tabby,0.06,33.95,7,1,1,1
ANSL_60808,10/4/2016 0:00,1/27/2017 12:38,1,Brown Tabby,0.37,26.27,0,1,0,1
ANSL_50064,1/5/2018 0:00,1/27/2019 16:02,1,Orange Tabby,0.47,7.59,0,7,0,1
ANSL_73811,10/24/2016 0:00,2/7/2017 14:33,1,Brown Tabby,0.88,44.54,0,1,0,1
ANSL_71122,1/11/2016 0:00,2/13/2018 19:04,1,Black,0.09,29.71,0,7,0,2
ANSL_57006,2/3/2016 0:00,3/29/2018 11:37,1,Tan,0.87,20.66,0,1,0,2
ANSL_59199,1/12/2018 0:00,6/1/2018 17:20,1,Orange Tabby,0.66,23.94,7,1,0,1
ANSL_58890,9/29/2014 0:00,10/20/2018 16:14,1,White,0.64,41.35,0,7,0,2
ANSL_57463,11/23/2011 0:00,12/17/2016 13:14,2,Tricolor,0.51,13.5,13,9,1,2
ANSL_63374,8/23/2014 0:00,10/12/2016 10:22,2,Red Merle,0.29,6.67,13,9,0,2
ANSL_60951,6/7/2006 0:00,7/9/2018 9:53,0,Black,0.04,9.82,0,7,1,2
ANSL_63454,11/2/2017 0:00,1/17/2018 10:44,2,Black Tabby,0.16,8.04,7,1,0,1
ANSL_73065,9/10/2017 0:00,12/8/2017 16:06,2,Brown Tabby,0.61,39.88,0,1,1,1
ANSL_72681,9/26/2007 0:00,10/17/2016 10:07,2,Brown,0.66,18.9,18,4,1,2
ANSL_60874,7/9/2017 0:00,11/20/2017 12:53,0,Orange Tabby,0.15,36.78,0,1,1,1
ANSL_51360,2/18/2016 0:00,3/19/2017 15:23,1,Black,0.19,25.17,0,1,0,2
ANSL_50693,8/4/2017 0:00,11/4/2017 12:03,,Black,0.73,29.2,0,4,2,4
ANSL_59052,1/30/2016 0:00,9/8/2016 15:33,2,White,0.49,5.36,13,9,1,2
ANSL_51733,8/13/2018 0:00,12/9/2018 19:01,1,Blue,0.33,17.73,0,1,0,1
ANSL_51044,4/14/2012 0:00,5/23/2017 15:26,1,Black,0.73,35.55,0,1,0,1
ANSL_52522,7/7/2016 0:00,8/24/2016 18:49,,Orange Tabby,0.87,16.35,13,9,2,1
ANSL_56453,3/27/2010 0:00,9/30/2016 16:18,1,Tan,0.63,30.38,0,7,0,2
ANSL_53286,11/18/2016 0:00,4/16/2017 12:45,2,Brown Tabby,0.09,31.36,18,4,0,1
ANSL_74473,7/23/2017 0:00,3/4/2018 0:00,1,Orange Tabby,0.24,12.49,13,9,0,1
ANSL_55528,7/7/2016 0:00,9/28/2017 14:19,0,Black,0,17.1,0,1,1,2
ANSL_75495,3/13/2019 0:00,4/10/2019 16:11,2,White,0.9,35.86,13,9,0,2
ANSL_59681,1/19/2016 0:00,11/15/2017 12:15,1,Red,0.06,43.61,7,1,0,2
ANSL_66966,12/17/2015 0:00,1/21/2017 18:49,0,Tan,0.42,19.77,0,1,1,2
ANSL_69802,1/28/2017 0:00,4/24/2018 18:42,1,Fawn,0.12,25.23,0,1,0,2
ANSL_58527,7/10/2016 0:00,10/28/2016 17:43,0,Tortie,0.33,32.86,0,1,1,1
ANSL_69588,4/12/2016 0:00,5/4/2018 9:00,2,Tortie,0.26,31.88,16,9,1,1
ANSL_58694,10/29/2017 0:00,2/6/2018 18:00,2,Calico,0.96,45.54,0,1,1,1
ANSL_76255,2/27/2016 0:00,4/28/2019 18:27,0,Buff,0.62,47.82,0,1,1,2
ANSL_50371,3/29/2013 0:00,8/28/2016 11:33,1,White,0.9,35.33,0,7,0,2
ANSL_54477,11/8/2018 0:00,3/6/2019 12:37,2,Brown Tabby,0.1,33.83,17,9,1,1
ANSL_60025,5/24/2016 0:00,11/26/2016 18:16,1,Brown Tabby,0.85,34.59,0,1,0,1
ANSL_52937,1/6/2012 0:00,2/3/2017 13:32,1,Blue,0.56,15.28,13,9,0,1
ANSL_72533,6/24/2015 0:00,9/8/2017 0:00,1,Black,0.47,30.8,0,7,0,2
ANSL_64086,6/15/2018 0:00,10/10/2018 15:27,1,Black,0.08,8.46,17,9,0,1
ANSL_53396,11/10/2016 0:00,12/8/2017 12:46,0,Yellow,0.45,35.76,0,7,1,2
ANSL_76691,1/12/2019 0:00,5/8/2019 10:56,0,Black,0.54,15.61,7,1,1,1
ANSL_73579,3/12/2016 0:00,2/20/2017 12:08,0,White,0.06,41.49,13,9,1,2
ANSL_52510,6/3/2016 0:00,10/15/2017 14:27,1,White,0.15,28.19,0,7,0,2
ANSL_76166,1/23/2019 0:00,4/27/2019 12:11,1,Black,0.87,25.13,7,1,0,2
ANSL_52580,2/8/2013 0:00,3/9/2017 15:40,1,Black,0.63,46.43,0,1,0,2
ANSL_71686,1/2/2017 0:00,6/27/2017 14:35,2,Black,0.81,12.33,13,9,0,2
ANSL_72491,11/5/2016 0:00,2/20/2017 9:26,1,Cream Tabby,0.28,46.19,7,1,0,1
ANSL_74884,12/17/2018 0:00,3/27/2019 16:35,1,Cream Tabby,0.95,35.16,0,1,0,1
ANSL_62012,10/29/2017 0:00,3/10/2018 17:36,0,Cream Tabby,0.6,34.45,0,1,1,1
ANSL_63508,6/13/2018 0:00,12/10/2018 17:36,0,White,0.53,9,0,7,1,2
ANSL_76016,12/28/2018 0:00,4/23/2019 17:07,1,Tan,0.53,47.79,0,1,0,2
ANSL_71410,8/5/2015 0:00,11/7/2016 11:40,0,Brown Brindle,0.62,41.68,13,9,1,2
ANSL_73201,11/15/2015 0:00,12/10/2016 18:13,1,White,0.96,32.02,0,1,0,2
ANSL_75627,2/19/2019 0:00,4/13/2019 12:35,2,Brown,0.69,29.85,13,9,1,2
ANSL_52039,7/5/2014 0:00,1/29/2018 17:22,1,Gold,0.31,12.21,0,1,0,2
ANSL_71606,12/15/2016 0:00,1/16/2018 19:04,1,Tan,0.83,17.07,0,1,0,2
ANSL_64617,7/4/2017 0:00,10/8/2018 17:39,1,Yellow,0.3,49.38,0,1,0,2
ANSL_58135,7/29/2014 0:00,3/26/2017 13:28,1,White,0.07,36.77,0,7,0,2
ANSL_58561,4/23/2016 0:00,5/27/2017 0:00,0,Black,0.78,40.17,13,9,1,2
ANSL_60859,6/7/2011 0:00,2/2/2017 15:55,1,Lynx Point,0.41,38.73,0,1,0,1
ANSL_55466,2/29/2012 0:00,3/19/2018 18:22,0,Black,0.61,37.27,0,7,1,2
ANSL_54562,1/8/2015 0:00,2/23/2019 18:53,0,Black,0.29,31.53,0,1,1,2
ANSL_51578,11/13/2018 0:00,2/3/2019 18:19,1,Gray,0.79,33.12,0,1,0,1
ANSL_60650,1/6/2017 0:00,3/20/2017 14:15,2,Black,0.96,30.64,13,9,1,2
ANSL_65469,8/31/2017 0:00,5/21/2018 13:04,0,Brown Brindle,0.86,22.95,0,1,1,2
ANSL_58680,9/14/2017 0:00,3/9/2018 14:16,1,Blue Tabby,0.41,22.76,0,1,0,1
ANSL_54191,1/7/2015 0:00,5/13/2018 17:28,1,Blue,0.65,29.95,0,1,0,2
ANSL_52842,12/15/2004 0:00,1/21/2017 18:22,0,Black,0.55,35.53,0,1,1,2
ANSL_59063,3/20/2006 0:00,4/16/2017 14:53,1,Orange Tabby,0.97,27.9,0,1,0,1
ANSL_69493,8/10/2016 0:00,10/21/2016 16:32,2,Black,0.85,32.17,18,4,0,1
ANSL_59822,5/11/2018 0:00,9/22/2018 17:22,0,Brown,0,20.55,0,1,1,2
ANSL_63256,7/22/2017 0:00,10/19/2017 17:42,1,Black,0.56,43.07,7,1,0,1
ANSL_52194,6/30/2007 0:00,6/2/2017 12:29,1,Tan,0.93,13.47,0,7,0,2
ANSL_65838,12/11/2016 0:00,7/13/2018 14:25,1,Black,0.73,44.25,13,9,0,1
ANSL_57438,3/4/2016 0:00,11/3/2017 17:46,1,Tan,0.05,39.86,0,1,0,2
ANSL_59684,7/19/2012 0:00,12/16/2018 17:08,1,Black,0.71,28.59,0,7,0,2
ANSL_63003,3/25/2009 0:00,5/16/2017 12:29,1,Black,0.2,41.9,0,1,0,2
ANSL_62671,9/2/2017 0:00,12/10/2017 18:11,0,Brown Tabby,0.08,49.17,0,1,1,1
ANSL_72296,12/8/2006 0:00,2/18/2018 10:45,1,Buff,0.21,38.8,0,7,0,2
ANSL_67459,7/9/2015 0:00,1/29/2017 17:00,2,Black,0.15,39.21,0,7,1,2
ANSL_76378,3/31/2018 0:00,5/1/2019 17:15,2,Black,0.89,29.68,0,7,0,2
ANSL_66757,12/13/2017 0:00,3/12/2018 8:40,0,Torbie,0.74,27.37,7,1,1,1
ANSL_74977,11/23/2016 0:00,12/19/2017 18:33,1,Tan,0.64,8.23,0,1,0,2
ANSL_51843,10/24/2017 0:00,11/21/2017 18:17,,Torbie,0.95,17.16,13,9,2,1
ANSL_73330,9/16/2016 0:00,9/8/2018 12:27,1,Blue,0.04,14.75,0,1,0,1
ANSL_53541,1/3/2008 0:00,7/6/2018 16:55,0,Tan,0.49,37.41,7,1,1,2
ANSL_54736,7/30/2012 0:00,8/24/2015 8:00,2,Buff,0.91,5.19,13,9,0,2
ANSL_71077,8/2/2016 0:00,10/28/2018 15:44,1,Yellow,0.75,18.48,13,9,0,2
ANSL_67366,3/21/2006 0:00,4/11/2018 14:33,1,Chocolate,0.06,33.8,0,7,0,2
ANSL_67172,5/24/2015 0:00,6/15/2018 9:00,2,Tan,0.31,19.13,16,9,0,1
ANSL_65288,11/7/2016 0:00,11/29/2017 9:00,2,Brown Tabby,0.84,38.64,16,9,1,1
ANSL_55285,7/3/2013 0:00,3/14/2018 13:38,0,Black,0.85,23.15,0,1,1,2
ANSL_71667,11/4/2015 0:00,1/5/2017 12:21,0,Brown Tabby,0.38,36.04,0,1,1,1
ANSL_75551,3/17/2019 0:00,4/12/2019 12:26,2,Black,0.47,18.49,13,9,0,1
ANSL_50532,10/15/2016 0:00,3/5/2017 13:21,2,Orange Tabby,0.42,28.31,13,9,0,1
ANSL_53598,12/29/2015 0:00,1/20/2018 12:52,0,Tan,0.46,31.9,0,7,1,2
ANSL_65825,11/9/2014 0:00,3/7/2018 17:27,0,Black,0.33,38.9,0,1,1,2
ANSL_56327,5/23/2015 0:00,11/14/2016 9:00,2,Brown Tabby,0.79,29.49,16,9,1,1
ANSL_74062,8/27/2013 0:00,9/22/2018 17:44,0,White,0.04,16.33,0,1,1,2
ANSL_65407,7/3/2015 0:00,7/24/2018 13:38,2,Black,0.73,40.05,0,7,1,2
ANSL_51576,6/25/2018 0:00,11/9/2018 12:26,0,Black,0.3,34.08,0,1,1,1
ANSL_57312,11/21/2017 0:00,2/15/2018 17:12,0,Blue,0.12,5.69,0,1,1,1
ANSL_74799,8/24/2010 0:00,9/19/2018 15:06,0,Red,0.28,34.77,13,9,1,2
ANSL_65378,11/30/2016 0:00,3/11/2017 17:52,0,Red,0.22,16.2,0,1,1,2
ANSL_56804,7/29/2018 0:00,11/15/2018 18:36,1,Black,0.02,28.51,0,1,0,1
ANSL_56125,2/25/2018 0:00,5/19/2018 8:45,1,Tan,0.97,30.57,0,1,0,2
ANSL_50671,5/22/2009 0:00,6/19/2017 17:44,0,Red,0.35,48.44,0,1,1,2
ANSL_62494,5/18/2012 0:00,4/13/2018 14:35,1,Brown,0.65,13.1,0,7,0,2
ANSL_50956,8/24/2016 0:00,11/18/2016 17:38,1,Chocolate,0.15,20.29,0,1,0,2
ANSL_55214,2/3/2018 0:00,3/2/2019 17:20,1,Tan,0.22,8.16,0,1,0,2
ANSL_70892,4/22/2016 0:00,5/13/2017 9:42,,Black,0.57,9.16,15,4,2,4
ANSL_58065,11/24/2016 0:00,2/20/2017 13:57,1,Orange Tabby,0.27,16.82,7,1,0,1
ANSL_74290,8/28/2017 0:00,12/3/2017 9:34,2,White,0.95,21.23,8,2,1,1
ANSL_54309,11/8/2015 0:00,11/29/2016 14:31,2,Blue,0.62,22.14,18,4,0,1
ANSL_57284,4/7/2017 0:00,1/6/2018 18:36,2,Blue,0.93,37.85,13,9,1,2
